day,hours,clusterid,applicationresponselatency,applicationsuccessratio,applicationaccessibility,downlinkthroughput,uplinkthroughput,servicecutoffratio,facebookqoe
6/3/2024,0,C1-CBPU1202,192.11,0,0,1407.91,24.47,0,837.44
6/3/2024,0,C1-CHAV1203,61.6,0,0,80.11,15.4,0,91
6/3/2024,0,C1-CKAM1202,936.24,0,0,370.47,27.14,0,256.61
6/3/2024,0,C1-CKHN1202,713.14,0,0,746.2,33.97,0,475.17
6/3/2024,0,C1-CKRK1202,82.69,100,100,191.34,17.99,0,205.46
6/3/2024,0,C1-CLHE1207,221.99,100,100,885.09,37.62,0,611.3
6/3/2024,0,C1-CLHE1210,375.19,100,100,904.57,34.74,0,617.39
6/3/2024,0,C1-CLHE1229,687.03,0,0,855.72,29.37,0,531.16
6/3/2024,0,C1-CLHE1234,199.61,0,0,958.01,34.7,0,598.79
6/3/2024,0,C1-CLHE1235,118.09,0,0,882.3,29.79,0,552.09
6/3/2024,0,C1-CLHE1238,210.48,0,0,778.36,39.27,0,503.95
6/3/2024,0,C1-CLHE1239,262.37,0,0,841.15,42.31,0,541.69
6/3/2024,0,C1-CLHE1242,241.66,0,0,647.8,36.63,0,428.17
6/3/2024,0,C1-CLHE1244,462.36,0,0,771.77,36.22,0,494.38
6/3/2024,0,C1-CLHE1245,2255.89,91.67,91.67,798.86,24.34,0,524.13
6/3/2024,0,C1-CNKN1201,98.55,0,0,1217.14,23.45,0,731.26
6/3/2024,0,C1-COKR1204,221.69,0,0,312.85,20.87,0,224.78
6/3/2024,0,C1-CRKH1202,278.02,64.29,64.29,245.23,30.58,0,229.58
6/3/2024,0,C1-CSRA1207,1198.63,0,0,539.57,27.99,0,348.87
6/3/2024,0,C1-CSWL1208,547.5,0,0,921.23,40.4,0,581.21
6/3/2024,0,C1-CSWL1209,940.48,0,0,2683.94,24.73,0,1539.15
6/3/2024,0,C1-FARW1204,1721.27,0,0,1100.41,29.03,0,656.38
6/3/2024,0,C1-FBRW1202,648.87,0,0,252.92,31.08,0,198.56
6/3/2024,0,C1-FCCW1202,371.53,100,100,1049.21,31.19,0,693.83
6/3/2024,0,C1-FKSW1201,705.75,100,100,1340.85,27.58,0,848.5
6/3/2024,0,C1-FPKT1202,342.74,0,0,2147.05,28.29,0,1250.81
6/3/2024,0,C2-CSFD1202,68.92,0,0,74.32,15.41,0,87.72
6/3/2024,0,C2-FBHL1203,365.39,100,100,777.93,31.34,0,543.35
6/3/2024,0,C2-FBHR1203,214.29,100,100,1060.18,30.6,0,700.85
6/3/2024,0,C2-FCHN1204,179.3,0,0,945.04,32.18,0,588.98
6/3/2024,0,C2-FCHN1205,1544.65,0,0,971.61,47.57,0,607.19
6/3/2024,0,C2-FFSD1210,641.47,0,0,748.78,32.22,0,475.37
6/3/2024,0,C2-FFSD1212,217.42,0,0,999.74,30.08,0,616.66
6/3/2024,0,C2-FFSD1213,153,0,0,856.04,34.45,0,542.33
6/3/2024,0,C2-FFSD1214,439.31,100,100,971.59,30.36,0,649.11
6/3/2024,0,C2-FFSD1219,913.12,0,0,699.74,37.47,0,451.25
6/3/2024,0,C2-FFSD1220,894.7,0,0,865.46,32.18,0,537.62
6/3/2024,0,C2-FFSD1221,752.87,0,0,733.5,29.19,0,462.4
6/3/2024,0,C2-FJRW1203,296.88,0,0,605.59,26.67,0,393.1
6/3/2024,0,C2-FJRW1204,303.12,100,100,3398.17,21.7,0,1988.95
6/3/2024,0,C2-FKHB1205,289.12,43.14,43.14,2138.45,37.73,0,1278.63
