day,hours,clusterid,initialbufferingduration,rebufferingtimepercentage,videostallspervideo,downlinkthroughput,streamingaccessibility,videostreamingqoe
6/3/2024,0,C1-CBPU1202,0,0,0,242623.07,100,4108.72
6/3/2024,0,C1-CKAM1202,0,0,0,65881.18,100,1163.02
6/3/2024,0,C1-CKHN1202,0,0,0,147354.37,100,2520.91
6/3/2024,0,C1-CKRK1202,0,0,0,44666.43,100,809.44
6/3/2024,0,C1-CLHE1207,0,0,0,170309.6,100,2903.49
6/3/2024,0,C1-CLHE1210,0,0,0,188646.96,100,3209.12
6/3/2024,0,C1-CLHE1229,0,0,0,144102.34,100,2466.71
6/3/2024,0,C1-CLHE1234,0,0,0,179514.98,100,3056.92
6/3/2024,0,C1-CLHE1235,0,0,0,317320.63,100,5353.68
6/3/2024,0,C1-CLHE1238,0,0,0,188053.03,100,3199.22
6/3/2024,0,C1-CLHE1239,0,0,0,172000.56,100,2931.68
6/3/2024,0,C1-CLHE1242,0,0,0,169310.95,100,2886.85
6/3/2024,0,C1-CLHE1244,0,0,0,159862.39,100,2729.37
6/3/2024,0,C1-CLHE1245,0,0,0,118686.81,100,2043.11
6/3/2024,0,C1-CNKN1201,0,0,0,192712.23,100,3276.87
6/3/2024,0,C1-COKR1204,0,0,0,30695.86,100,576.6
6/3/2024,0,C1-CRKH1202,0,0,0,32245.56,100,602.43
6/3/2024,0,C1-CSRA1207,0,0,0,82586.2,100,1441.44
6/3/2024,0,C1-CSWL1208,0,0,0,178323.94,100,3037.07
6/3/2024,0,C1-CSWL1209,0,0,0,387824.59,100,6528.74
6/3/2024,0,C1-FARW1204,0,0,0,160416.02,100,2738.6
6/3/2024,0,C1-FBRW1202,0,0,0,40980.52,100,748.01
6/3/2024,0,C1-FCCW1202,0,0,0,170406.13,100,2905.1
6/3/2024,0,C1-FKSW1201,0,0,0,207614.1,100,3525.24
6/3/2024,0,C1-FPKT1202,0,0,0,374454.94,100,6305.92
6/3/2024,0,C2-FBHL1203,0,0,0,124110.04,100,2133.5
6/3/2024,0,C2-FBHR1203,0,0,0,173597.43,100,2958.29
6/3/2024,0,C2-FCHN1204,0,0,0,166463.74,100,2839.4
6/3/2024,0,C2-FCHN1205,0,0,0,228061.33,100,3866.02
6/3/2024,0,C2-FFSD1210,0,0,0,151263.19,100,2586.05
6/3/2024,0,C2-FFSD1212,0,0,0,147921.57,100,2530.36
6/3/2024,0,C2-FFSD1213,0,0,0,175264.68,100,2986.08
6/3/2024,0,C2-FFSD1214,0,0,0,156417.78,100,2671.96
6/3/2024,0,C2-FFSD1219,0,0,0,173268.28,100,2952.8
6/3/2024,0,C2-FFSD1220,0,0,0,152007.91,100,2598.47
6/3/2024,0,C2-FFSD1221,0,0,0,139406.84,100,2388.45
6/3/2024,0,C2-FJRW1203,0,0,0,102852,100,1779.2
6/3/2024,0,C2-FJRW1204,0,0,0,537879.65,100,9029.66
6/3/2024,0,C2-FKHB1205,0,0,0,422320.22,100,7103.67
6/3/2024,0,C2-FKML7201,0,0,0,184780.2,100,3144.67
6/3/2024,0,C2-FKMN7201,0,0,0,111035.42,100,1915.59
6/3/2024,0,C2-FMNW1206,0,0,0,220140.6,100,3734.01
6/3/2024,0,C2-FPML1201,0,0,0,125314.69,100,2153.58
6/3/2024,0,C2-FSGD1204,0,0,0,163172.08,100,2784.53
6/3/2024,0,C2-FSGD1206,0,0,0,170121.91,100,2900.37
6/3/2024,0,C2-FSGD1209,0,0,0,245905.58,100,4163.43
6/3/2024,0,C2-FSGL1203,0,0,0,133285.62,100,2286.43
6/3/2024,0,C2-FSHK1201,0,0,0,143302.56,100,2453.38
6/3/2024,0,C2-FSHN1201,0,0,0,337658.19,100,5692.64
6/3/2024,0,C2-FSMN7202,0,0,0,131310.22,100,2253.5
6/3/2024,0,C2-FSWI7201,0,0,0,143417.75,100,2455.3
6/3/2024,0,C2-FTDA1201,0,0,0,242627.63,100,4108.79
6/3/2024,0,C2-FTTS1203,0,0,0,71690.72,100,1259.85
6/3/2024,0,C2-FTTS1204,0,0,0,157691.72,100,2693.2
6/3/2024,0,C3-FAPR1201,0,0,0,188689.46,100,3209.82
6/3/2024,0,C3-FBKR1202,0,0,0,159778.89,100,2727.98
6/3/2024,0,C3-FBKR1203,0,0,0,245339.78,100,4154
6/3/2024,0,C3-FBWP1201,0,0,0,146986.56,100,2514.78
6/3/2024,0,C3-FCHM4202,0,0,0,167037.92,100,2848.97
6/3/2024,0,C3-FCKA1202,0,0,0,86962.69,100,1514.38
6/3/2024,0,C3-FCSS1203,0,0,0,165911.05,100,2830.18
6/3/2024,0,C3-FDGK1204,0,0,0,130663.2,100,2242.72
6/3/2024,0,C3-FDKN1201,0,0,0,203859.25,100,3462.65
6/3/2024,0,C3-FDNY1201,0,0,0,3179.91,100,118
6/3/2024,0,C3-FFAB1201,0,0,0,180232.65,100,3068.88
6/3/2024,0,C3-FFTP1202,0,0,0,330432.89,100,5572.21
6/3/2024,0,C3-FJAM1202,0,0,0,201842.18,100,3429.04
6/3/2024,0,C3-FJAN1202,0,0,0,138507.73,100,2373.46
6/3/2024,0,C3-FJNG1208,0,0,0,93700.46,100,1626.67
6/3/2024,0,C3-FJNG1210,0,0,0,84278.49,100,1469.64
6/3/2024,0,C3-FJNG1211,0,0,0,103879.28,100,1796.32
6/3/2024,0,C3-FJNG1212,0,0,0,169507.08,100,2890.12
6/3/2024,0,C3-FJNG1213,0,0,0,231144.01,100,3917.4
6/3/2024,0,C3-FJPW1203,0,0,0,168830.08,100,2878.83
6/3/2024,0,C3-FKAD1203,0,0,0,138705.24,100,2376.75
6/3/2024,0,C3-FKBW1204,0,0,0,195179.88,100,3318
6/3/2024,0,C3-FKCT1201,0,0,0,193913.17,100,3296.89
6/3/2024,0,C3-FKHT4201,0,0,0,142838.35,100,2445.64
6/3/2024,0,C3-FLOD1204,0,0,0,311051.5,100,5249.19
6/3/2024,0,C3-FLYA1203,0,0,0,164558.57,100,2807.64
6/3/2024,0,C3-FMCN1202,0,0,0,155372.48,100,2654.54
6/3/2024,0,C3-FMLC4201,0,0,0,248166.2,100,4201.1
6/3/2024,0,C3-FMUX1214,0,0,0,167105.33,100,2850.09
6/3/2024,0,C3-FMUX1215,0,0,0,161252.82,100,2752.55
6/3/2024,0,C3-FMZG1201,0,0,0,196332.45,100,3337.21
6/3/2024,0,C3-FPLN1202,0,0,0,94375.26,100,1637.92
6/3/2024,0,C3-FRJK1201,0,0,0,154465.33,100,2639.42
6/3/2024,0,C3-FSHD1201,0,0,0,6239.17,100,168.99
6/3/2024,0,C3-FSKT1202,0,0,0,125269.69,100,2152.83
6/3/2024,0,C3-FSSD1202,0,0,0,114738.08,100,1977.3
6/3/2024,0,C3-FSUJ1201,0,0,0,96172.16,100,1667.87
6/3/2024,0,C3-FTBS1201,0,0,0,124284.53,100,2136.41
6/3/2024,0,C3-FTSA1206,0,0,0,84141.17,100,1467.35
6/3/2024,0,C3-FVHR4204,0,0,0,11548.5,100,257.48
6/3/2024,0,C3-FVHR4205,0,0,0,278627.38,100,4708.79
6/3/2024,0,C3-FYZM1201,0,0,0,82176.68,100,1434.61
