day,hours,clusterid,pageresponselatency,pagedisplaysuccessratio,pagedisplaylatency,downlinkthroughput,webbrowsingqoe
6/3/2024,0,C1-CBPU1202,192.11,0,0,1407.91,57.25
6/3/2024,0,C1-CHAV1203,61.6,0,0,80.11,51.25
6/3/2024,0,C1-CKAM1202,936.24,0,0,370.47,44.03
6/3/2024,0,C1-CKHN1202,713.14,0,0,746.2,49.29
6/3/2024,0,C1-CKRK1202,82.69,100,0,191.34,93.11
6/3/2024,0,C1-CLHE1207,221.99,100,0,885.09,96.23
6/3/2024,0,C1-CLHE1210,375.19,100,0,904.57,94.23
6/3/2024,0,C1-CLHE1229,687.03,0,0,855.72,49.96
6/3/2024,0,C1-CLHE1234,199.61,0,0,958.01,56.68
6/3/2024,0,C1-CLHE1235,118.09,0,0,882.3,57.61
6/3/2024,0,C1-CLHE1238,210.48,0,0,778.36,56.09
6/3/2024,0,C1-CLHE1239,262.37,0,0,841.15,55.58
6/3/2024,0,C1-CLHE1242,241.66,0,0,647.8,55.19
6/3/2024,0,C1-CLHE1244,462.36,0,0,771.77,52.72
6/3/2024,0,C1-CLHE1245,2255.89,91.67,0,798.86,65.55
6/3/2024,0,C1-CNKN1201,98.55,0,0,1217.14,58.37
6/3/2024,0,C1-COKR1204,221.69,0,0,312.85,52.94
6/3/2024,0,C1-CRKH1202,278.02,64.29,0,245.23,77.04
6/3/2024,0,C1-CSRA1207,1198.63,0,0,539.57,41.86
6/3/2024,0,C1-CSWL1208,547.5,0,0,921.23,51.97
6/3/2024,0,C1-CSWL1209,940.48,0,0,2683.94,47.46
6/3/2024,0,C1-FARW1204,1721.27,0,0,1100.41,36.61
6/3/2024,0,C1-FBRW1202,648.87,0,0,252.92,46.49
6/3/2024,0,C1-FCCW1202,371.53,100,0,1049.21,94.54
6/3/2024,0,C1-FKSW1201,705.75,100,0,1340.85,90.37
6/3/2024,0,C1-FPKT1202,342.74,0,0,2147.05,55.41
